Annealing Plan	Sum of distance	Waste of time
0.999	409.117	0.928607
0.999	395.142	0.926495
0.999	392.877	0.961669
0.999	391.614	0.911708
0.999	398.182	0.961485
0.999	387.088	0.868173
0.999	393.807	0.941920
0.999	377.771	0.932691
0.999	399.525	0.909627
0.999	409.856	0.943999
0.9999	372.949	8.698174
0.9999	386.587	5.205656
0.9999	374.422	8.812330
0.9999	373.502	8.936631
0.9999	383.001	8.817647
0.9999	375.454	8.904034
0.9999	381.719	8.788154
0.9999	374.919	8.670053
0.9999	373.705	9.108503
0.9999	388.257	9.071433
0.99999	373.265	88.847917
0.99999	364.443	88.309034
0.99999	364.188	89.062873
0.99999	367.388	90.494210
0.99999	377.269	89.694486
0.99999	374.087	88.644888
0.99999	363.964	90.982965
0.99999	366.924	51.315567
0.99999	376.261	89.101521
0.99999	366.267	90.172582
0.999999	364.678	732.914278
0.999999	363.048	413.086887
0.999999	362.57	713.846044
0.999999	363.295	721.195470
0.999999	363.048	411.406145
0.999999	366.724	724.416028
0.999999	362.808	722.108788
0.999999	362.57	711.487951
0.999999	373.568	727.729402
0.999999	362.57	714.912102
